Artist ID,Name,City Of Birth,Gender,Birth Year,Death Year
1,Ai Xuan 艾軒,Zhejiang,Male,1947,2003
2,Chang DaiChien 張大千,Neijiang,Male,1899,1983
3,Chu Chu 儲楚,Hangzhou,Female,1975,2025
4,Giuseppe Castiglione 郎世宁,Italy,Male,1688,1766
5,Gu Wenda 谷文达,Shanghai,Male,1955,2025
6,He Baili 何百里,GuangZhou,Male,1945,2018
7,He Jilan 何紀嵐,Hong Kong,Male,1974,2022
9,Irene Chou 周綠雲,Shanghai,Female,1924,2011
10,Jin TingBiao 金廷标,Huzhou,Male,1767,1845
11,Li FangYing 李方膺,Jiangsu,Male,1696,1755
12,Li Zijian 李自健,ShaoYang,Male,1954,2011
13,Ling Jian 凌健,ShanDong,Male,1963,2019
15,Liu KuoSung 刘国松,AnHui,Male,1932,1992
16,Liu YuanShou 劉元壽,Beijing,Male,1887,1923
18,Lu XinJian 陆新建,Jiangsu,Male,1977,2006
19,Luo ZhongLi 羅中立,ChongQing,Male,1948,2024
21,Qin Feng 秦风,XinJiang,Male,1961,2007
22,Qiu Ying 仇英,Jiangsu,Male,1494,1552
23,Wai Ming,Canton,Male,1938,2010
24,Wang Hui 王翚,SuZhou,Male,1632,1717
25,Yao WenHan 姚文瀚,Shuntian (today Beijing),Male,1800,1893
